name,lat,lng,hex_id
士林89號綠地,25.10577,121.52893,894ba56926bffff
天福綠地,25.11675,121.532547,894ba569233ffff
永倫綠地,25.09152,121.500526,894ba0a6033ffff
至臨綠地,25.10429,121.555603,894ba0a6dcfffff
東吳綠地,25.09658,121.542747,894ba0a6c73ffff
添壽一號綠地,25.116739,121.526901,894ba569217ffff
聖山綠地,25.10683,121.532348,894ba0a6c9bffff
福文公園,25.09065,121.527229,894ba0a6e93ffff
士林3號廣場,25.10453,121.524612,894ba0a61b7ffff
士林4號廣場,25.09605,121.53199,894ba0a6c53ffff
天母廣場,25.118749,121.530082,894ba5692abffff
天生廣場,25.12619,121.53125,894ba56904fffff
一江公園,25.053279,121.531257,894ba0a456fffff
八二三砲戰紀念公園,25.076799,121.526771,894ba0a6e53ffff
力行三號公園,25.08543,121.536689,894ba0a6eabffff
下埤公園,25.06701,121.542282,894ba0a6ac7ffff
下塔悠公園,25.076929,121.559562,894ba0a686fffff
上塔悠公園,25.07751,121.552001,894ba0a684fffff
大佳社區公園,25.07275,121.537658,894ba0a6e6fffff
大直公園,25.08271,121.547279,894ba0a6853ffff
中427公園,25.080329,121.555992,894ba0a687bffff
中428公園,25.078447,121.553485,894ba0a684fffff
